date,open,high,low,close,volume
2007-01-10,614.8,615.1,606.2,613.4,58880.0
2007-01-11,612.0,617.0,609.9,613.9,54230.0
2007-01-12,611.5,628.8,610.7,626.9,81170.0
2007-01-16,626.9,629.0,623.2,625.9,66440.0
2007-01-17,625.4,634.8,620.6,633.3,70100.0
2007-01-18,633.0,637.4,626.8,628.1,63540.0
2007-01-19,627.5,637.0,627.0,636.4,51080.0
2007-01-22,635.8,640.3,632.0,634.1,62240.0
2007-01-23,633.7,648.2,632.3,645.9,109520.0
2007-01-24,646.1,649.3,638.9,648.2,85580.0
2007-01-25,648.0,654.8,644.9,648.1,87210.0
2007-01-26,645.2,648.1,640.6,644.7,75730.0
2007-01-29,645.7,648.2,640.8,643.2,71050.0
2007-01-30,648.5,653.4,646.8,650.2,47550.0
2007-01-31,651.8,660.7,647.5,657.9,83730.0
2007-02-01,658.5,667.2,657.4,663.0,71270.0
2007-02-02,662.4,665.3,648.0,651.5,82680.0
2007-02-05,653.1,657.5,651.2,656.1,38430.0
2007-02-06,653.1,663.7,653.0,658.7,56140.0
2007-02-07,658.2,662.0,655.0,657.3,41930.0
2007-02-08,656.5,666.1,652.5,662.8,74080.0
2007-02-09,665.1,673.9,661.6,672.3,77430.0
2007-02-12,673.4,673.5,664.1,667.3,61300.0
2007-02-13,666.1,673.9,665.1,668.5,58890.0
2007-02-14,669.0,676.6,668.0,672.0,60620.0
2007-02-15,673.7,675.0,666.5,671.4,57660.0
2007-02-16,674.1,674.1,666.7,672.8,57660.0
2007-02-19,673.2,677.8,671.6,674.3,50430.0
2007-02-20,673.2,677.8,659.0,661.0,76160.0
2007-02-21,660.8,686.4,660.5,684.0,102640.0
2007-02-22,682.7,684.7,678.7,683.0,66380.0
2007-02-23,681.2,691.9,676.2,686.7,80190.0
2007-02-26,684.6,691.8,684.6,689.8,57620.0
2007-02-27,689.9,692.5,660.0,687.2,131910.0
2007-02-28,669.4,680.5,664.0,672.5,106580.0
2007-03-01,672.8,680.2,664.2,665.1,104440.0
2007-03-02,666.8,668.2,641.3,644.1,131590.0
2007-03-05,645.6,647.0,635.1,639.2,109410.0
2007-03-06,638.4,650.0,634.5,646.2,79080.0
2007-03-07,649.1,653.7,644.5,652.9,86280.0
2007-03-08,651.2,657.7,649.0,655.5,65450.0
2007-03-09,653.7,659.8,648.8,652.0,79720.0
2007-03-12,650.9,655.4,646.8,650.3,69070.0
2007-03-13,652.2,653.8,642.8,649.4,60390.0
2007-03-14,644.0,647.0,637.6,642.5,90430.0
2007-03-15,645.1,651.3,644.5,647.1,53680.0
2007-03-16,647.2,656.5,646.8,653.9,57860.0
2007-03-19,653.9,657.1,652.5,654.3,39800.0
2007-03-20,654.4,662.0,653.3,659.0,74040.0
2007-03-21,659.0,665.6,657.5,660.0,52150.0
2007-03-22,665.2,667.6,662.3,664.2,74290.0
2007-03-23,664.4,665.3,655.2,657.3,75340.0
2007-03-26,657.5,666.5,657.1,663.9,82320.0
2007-03-27,664.0,666.0,661.7,662.5,73180.0
2007-03-28,664.8,669.8,663.3,666.8,10240.0
2007-03-29,672.5,672.5,660.8,667.6,86890.0
2007-03-30,667.4,673.8,666.5,669.0,63500.0
2007-04-02,671.1,672.3,661.7,671.5,67910.0
2007-04-03,670.0,673.4,667.5,669.7,64010.00000000001
2007-04-04,670.3,681.1,668.8,677.4,100920.0
2007-04-05,679.4,681.0,676.6,679.4,48940.0
2007-04-09,677.8,683.1,675.6,676.9,40550.0
2007-04-10,676.2,686.8,675.8,681.5,55010.0
2007-04-11,682.4,686.2,679.0,681.7,51090.0
2007-04-12,682.2,684.6,675.5,679.7,64239.99999999999
2007-04-13,680.7,690.5,680.1,689.9,75850.0
2007-04-16,690.6,695.8,687.4,694.5,68760.0
2007-04-17,694.7,695.5,690.2,692.5,50450.0
2007-04-18,691.0,695.4,689.0,693.3,61390.0
2007-04-19,693.9,695.9,682.5,688.3,80140.0
2007-04-20,687.7,698.0,686.7,695.8,67590.0
2007-04-23,696.2,697.7,690.5,694.2,50750.0
2007-04-24,693.3,695.7,684.3,687.7,85950.0
2007-04-25,687.4,690.6,685.8,687.4,52010.0
2007-04-26,689.0,690.3,674.4,678.0,103490.0
2007-04-27,677.7,684.9,673.8,681.8,66970.0
2007-04-30,684.2,684.9,678.8,683.5,46770.0
2007-05-01,681.2,682.3,674.6,677.3,67240.0
2007-05-02,676.7,677.9,670.0,675.1,78270.0
2007-05-03,675.4,685.2,674.5,684.4,71010.0
2007-05-04,684.2,693.2,682.6,689.7,77220.0
2007-05-07,691.0,693.3,689.0,690.4,40340.0
2007-05-08,690.9,691.3,684.1,687.4,64200.0
2007-05-09,687.1,688.9,677.5,682.5,75100.0
2007-05-10,682.2,683.2,665.9,667.0,132430.0
2007-05-11,667.6,674.3,666.3,672.3,86060.0
2007-05-14,673.0,676.4,667.5,670.1,67320.0
2007-05-15,670.5,675.0,666.0,674.5,69830.0
2007-05-16,673.1,674.4,660.6,661.5,109110.0
2007-05-17,663.2,665.3,654.1,657.2,97420.0
2007-05-18,658.4,664.0,656.4,662.0,75400.0
2007-05-21,662.5,664.6,657.5,663.8,61250.0
2007-05-22,663.5,665.9,658.7,659.9,70310.0
2007-05-23,659.7,665.3,657.5,662.6,64170.0
2007-05-24,661.6,663.2,651.5,653.3,131080.0
2007-05-25,653.8,656.9,653.3,655.3,64260.00000000001
2007-05-29,655.2,662.0,654.5,657.2,100720.0
2007-05-30,662.3,664.6,657.7,659.3,83430.0
2007-05-31,658.7,667.5,658.6,666.7,68750.0
2007-06-01,666.5,677.5,666.2,676.9,84640.0
2007-06-04,676.9,679.5,674.2,676.3,56180.0
2007-06-05,676.4,678.8,674.2,675.1,48050.0
2007-06-06,675.3,677.3,670.2,674.6,76730.0
2007-06-07,675.5,678.0,662.5,665.2,96070.0
2007-06-08,663.9,665.9,647.8,650.3,125760.0
2007-06-11,653.3,659.4,653.2,659.0,53930.0
2007-06-12,657.8,658.8,649.5,653.1,58510.0
2007-06-13,652.6,656.9,647.0,652.7,67600.0
2007-06-14,655.4,658.2,649.5,655.9,62370.0
2007-06-15,655.8,659.5,653.6,658.7,53930.0
2007-06-18,658.7,662.9,658.0,659.9,39220.0
2007-06-19,659.4,665.8,657.1,664.7,63850.0
2007-06-20,664.6,665.4,655.5,660.0,60160.0
2007-06-21,656.7,659.7,650.5,654.2,77890.0
2007-06-22,655.0,659.5,653.5,657.0,48950.0
2007-06-25,657.4,657.7,651.6,654.7,47610.0
2007-06-26,654.4,654.7,642.8,645.3,106270.0
2007-06-27,643.1,647.5,641.1,644.8,64510.00000000001
2007-06-28,646.2,652.5,645.5,650.4,57910.0
2007-06-29,651.0,655.0,648.8,650.9,46880.0
2007-07-02,651.6,661.3,650.6,659.2,72670.0
2007-07-03,659.2,660.3,654.0,655.4,72670.0
2007-07-04,656.1,657.2,655.3,656.3,61220.0
2007-07-05,656.1,658.7,647.4,650.6,84070.0
2007-07-06,651.5,658.0,646.7,654.8,79430.0
2007-07-09,657.6,666.0,655.3,662.5,83840.0
2007-07-10,662.1,667.0,660.3,664.4,77460.0
2007-07-11,665.0,667.8,661.3,662.1,61060.0
2007-07-12,661.9,671.0,661.8,668.3,83470.0
2007-07-13,668.0,669.9,664.4,667.3,69740.0
2007-07-16,667.3,670.5,664.5,666.3,42190.0
2007-07-17,666.2,668.4,663.0,665.9,50740.0
2007-07-18,665.4,675.3,665.2,673.7,90980.0
2007-07-19,673.6,678.5,672.0,678.1,75280.0
2007-07-20,678.5,687.6,675.8,684.7,103820.0
2007-07-23,684.7,685.8,680.5,681.5,55400.0
2007-07-24,682.0,688.4,681.0,684.8,111820.0
2007-07-25,681.6,682.5,670.5,673.8,122680.0
2007-07-26,675.3,677.4,652.8,662.8,167330.0
2007-07-27,662.8,666.8,656.6,660.1,95750.0
2007-07-30,673.0,677.8,671.8,676.6,56250.0
2007-07-31,677.3,680.9,675.0,679.3,52270.0
2007-08-01,675.3,679.0,670.6,675.9,71660.0
2007-08-02,679.1,679.4,674.0,676.6,40020.0
2007-08-03,676.8,687.1,676.2,684.4,78920.0
2007-08-06,684.2,687.4,680.0,683.3,49920.0
2007-08-07,683.0,683.9,677.4,682.3,52630.0
2007-08-08,683.1,688.1,680.8,686.3,54060.0
2007-08-09,686.0,686.0,669.8,672.8,108760.0
2007-08-10,672.1,687.4,668.8,681.6,111760.0
2007-08-13,682.7,683.7,679.1,680.9,40450.0
2007-08-14,680.0,682.2,676.3,679.7,55770.0
2007-08-15,680.0,681.8,672.5,679.7,76380.0
2007-08-16,677.8,678.5,651.6,658.0,169660.0
2007-08-17,660.8,674.5,655.5,666.8,94330.0
2007-08-20,667.0,670.6,662.3,666.5,54000.0
2007-08-21,667.6,669.8,663.9,666.2,58170.0
2007-08-22,667.0,671.6,664.2,668.7,55490.0
2007-08-23,670.1,674.5,667.4,668.4,57080.0
2007-08-24,669.3,679.0,666.7,677.5,67680.0
2007-08-27,677.5,677.8,674.9,676.2,24130.0
2007-08-28,676.0,677.7,671.0,673.5,53510.0
2007-08-29,671.1,678.2,670.2,675.4,53620.0
2007-08-30,676.5,676.8,671.8,673.9,46160.0
2007-08-31,673.3,683.9,673.0,681.9,46160.0
2007-09-03,681.9,682.8,680.1,680.9,69730.0
2007-09-04,681.9,692.5,680.1,691.5,89770.0
2007-09-05,691.0,692.3,687.3,690.7,63440.0
2007-09-06,691.0,707.3,690.2,704.6,127690.0
2007-09-07,705.5,716.6,701.5,709.7,129180.0
2007-09-10,709.5,716.3,708.0,712.2,67170.0
2007-09-11,711.8,723.8,711.5,721.1,99930.0
2007-09-12,721.2,723.6,714.5,720.7,78050.0
2007-09-13,720.0,721.2,712.0,717.9,75140.0
2007-09-14,717.0,726.5,712.7,717.8,94360.0
2007-09-17,715.8,728.9,714.8,723.8,78800.0
2007-09-18,726.2,735.5,720.0,723.7,100840.0
2007-09-19,732.3,735.0,727.7,729.5,98070.0
2007-09-20,729.6,746.5,728.9,739.9,140150.0
2007-09-21,741.6,747.1,734.0,738.9,100860.0
2007-09-24,738.6,743.9,733.5,739.3,80780.0
2007-09-25,737.6,741.7,729.2,738.8,101360.0
2007-09-26,738.5,744.2,733.4,735.5,104090.0
2007-09-27,734.9,743.2,733.9,739.9,83510.0
2007-09-28,740.8,752.8,740.0,750.0,101860.0
2007-10-01,750.6,755.7,747.8,754.1,68810.0
2007-10-02,753.9,754.0,730.7,736.3,125570.0
2007-10-03,738.4,742.5,732.3,735.7,86470.0
2007-10-04,734.8,744.7,726.3,743.8,132490.0
2007-10-05,743.8,750.7,732.7,747.2,111760.0
2007-10-08,747.5,748.5,736.7,738.7,48490.0
2007-10-09,739.0,746.5,732.2,743.1,99310.0
2007-10-10,743.5,751.9,742.8,746.0,82200.0
2007-10-11,746.1,759.3,745.8,756.7,120320.0
2007-10-12,753.2,757.6,750.0,753.8,79550.0
2007-10-15,754.0,765.5,752.7,762.2,97580.0
2007-10-16,763.7,772.0,758.2,762.0,126970.0
2007-10-17,765.6,769.8,756.4,762.3,132690.0
2007-10-18,760.2,774.9,759.2,768.7,93600.0
2007-10-19,772.5,776.9,762.4,768.4,110420.0
2007-10-22,770.9,772.8,749.0,760.0,148680.0
2007-10-23,758.8,765.5,756.8,763.1,83120.0
2007-10-24,763.3,768.0,757.7,765.6,85620.0
2007-10-25,767.1,773.5,765.5,771.0,84790.0
2007-10-26,772.9,789.5,771.8,787.5,98810.0
2007-10-29,792.5,798.3,788.7,792.6,111980.0
2007-10-30,794.2,795.6,782.2,787.8,97800.0
2007-10-31,784.8,800.8,780.0,795.3,113910.0
2007-11-01,799.4,802.5,786.6,793.7,113670.0
2007-11-02,790.5,811.0,790.0,808.5,125970.0
2007-11-05,810.6,814.2,803.5,810.8,90030.0
2007-11-06,809.0,828.0,808.6,823.4,116220.0
2007-11-07,826.9,848.0,824.8,833.5,195010.0
2007-11-08,832.0,847.8,825.6,837.5,175790.0
2007-11-09,835.4,840.7,828.5,834.7,122790.0
2007-11-12,831.5,833.6,792.8,807.7,180910.0
2007-11-13,795.7,810.4,791.7,799.0,156360.0
2007-11-14,802.3,817.4,800.0,814.7,113580.0
2007-11-15,813.2,819.4,783.0,787.3,181660.0
2007-11-16,789.0,798.4,784.5,787.0,124290.0
2007-11-19,788.3,794.9,775.7,778.0,117460.0
2007-11-20,782.1,806.7,773.4,791.4,156530.0
2007-11-21,802.9,808.0,795.0,798.6,156530.0
2007-11-22,801.2,805.9,798.4,804.0,115800.0
2007-11-23,804.5,826.1,798.4,824.7,106720.0
2007-11-26,823.5,837.2,820.0,826.5,170840.0
2007-11-27,823.9,829.4,807.4,814.0,188880.0
2007-11-28,812.6,815.9,791.0,800.3,165340.0
2007-11-29,811.2,814.9,798.8,802.3,115040.0
2007-11-30,799.6,806.2,785.0,789.1,117060.0
2007-12-03,789.4,800.9,783.0,794.7,73120.0
2007-12-04,800.3,811.7,792.6,807.6,92930.0
2007-12-05,808.7,813.0,797.0,803.7,89000.0
2007-12-06,801.0,811.5,790.9,807.1,105670.0
2007-12-07,807.3,811.1,796.4,800.2,91660.0
