date,open,high,low,close
2015-09-11,114.28653533967223,113.82993711618174,114.32322149177548,113.96653304072115
2015-09-14,114.16740339217891,113.82998076053815,114.18569945041484,114.00300233129417
2015-09-15,112.04975028849576,111.86341478358139,113.02698046784013,113.00889615096527
2015-09-16,112.77425062310031,112.63033707947537,113.03603348294742,112.97273330419696
2015-09-17,114.88690742021127,113.87622605295093,114.88690742021127,113.91266644528788
2015-09-18,114.99318852250204,114.36802568115809,115.02092668810207,114.44122121759402
2015-09-21,113.38352209710632,113.38352209710632,114.01030170171299,113.84612686726253
2015-09-22,115.06387939045263,114.29176197003417,115.06387939045263,114.45634210727104
2015-09-23,114.02694810351612,114.00874747333201,114.48386006097532,114.282368467268
2015-09-24,114.65775519272532,114.06376825660297,114.7680914447151,114.49264802524779
2015-09-25,114.00778103800542,113.88038787538015,114.43755050454267,114.14459037525104
2015-09-28,115.30979919911225,114.70130421653118,115.42112895938172,114.76553694689242
2015-09-29,115.46543911411787,114.9488977664273,115.66963844374092,115.11442417921096
2015-09-30,115.6036051030001,115.34465302756938,115.98488961826219,115.34465302756938
2015-10-01,115.28006002187394,114.97652200378396,115.55739777653764,115.28006002187394
2015-10-02,116.28998821206719,114.95034824299196,116.43972584375824,115.7504026667632
2015-10-03,115.7504026667632,115.7504026667632,115.7504026667632,115.7504026667632
2015-10-05,114.45242216922753,114.38874146378402,115.1760509288409,115.12998050846934
2015-10-06,115.47114735764549,115.27726440453837,115.73067473973043,115.34181967260493
2015-10-07,114.80782976671324,114.78950449460365,115.25863381019181,115.06499930539069
2015-10-08,114.42233195109584,114.09460468956037,114.90826012364457,114.72440690744673
2015-10-09,114.91728278168073,114.73357679050227,115.27720681223691,114.83454233807791
2015-10-12,115.00907687966846,115.00907687966846,115.05509523629445,115.01827760581884
2015-10-13,115.5254535272748,115.2298266170091,115.60887209930188,115.27591854765589
2015-10-14,116.56521309851881,115.88452670893462,116.58397460070752,115.89379747107134
2015-10-15,115.20015491977213,115.20015491977213,115.56906102791328,115.48585130397318
2015-10-16,115.25504578134152,115.01598465726376,115.35648645213642,115.33802941430409
2015-10-19,115.44875392254184,115.36569062529162,115.75434539438301,115.44875392254184
2015-10-20,114.6113018215493,114.52001444455087,115.11599530435036,115.02390250810689
2015-10-21,115.69736616571771,115.29971715723511,115.80882798283304,115.40118090833347
2015-10-22,115.35503889277636,115.17083922987372,115.65098704034061,115.40118090833347
2015-10-23,114.38066377314983,114.27141767594529,114.96685551574123,114.85648733444613
2015-10-26,115.35366170847902,115.05852161295881,115.37215824687532,115.12295438506206
2015-10-27,115.4826559730301,115.05862961808442,115.52893418733363,115.31636094842894
2015-10-28,114.20516562512242,114.05983176287778,114.77184992034111,114.72594118037298
2015-10-29,113.34886509784226,113.24983900650113,114.14735213983795,114.07429783446845
2015-10-30,114.45807871471901,114.27500437256494,114.65093915385958,114.31157237396417
2015-11-02,113.68253509078342,113.61910628912268,114.15594678492297,114.03722460026667
2015-11-03,113.1922352059694,113.17420091373553,113.71774146082784,113.65405952560977
2015-11-04,113.40891975829938,113.30935090864324,113.69957212352966,113.57222860275131
2015-11-05,113.42693751314995,113.3453745187733,113.73612663168174,113.49045659815732
2015-11-06,111.8857778091771,111.77035842245124,112.89917095541281,112.68240454717844
2015-11-09,112.28639609669317,112.2326105006066,112.7185438687138,112.46605433044788
